,winRate,goldEarned,kda
0,0.4896,74.5,5.204
1,0.50856,80.4,5.722
2,0.50488,107.3,6.248
3,0.50452,69.0,5.952
4,0.5064,35.4,6.0
5,0.53218,39.7,6.516
6,0.49764,68.3,5.318
7,0.5163,61.8,6.348
8,0.50482,60.3,6.308
9,0.5141,97.0,6.706
10,0.52386,56.1,6.61
11,0.51672,36.5,5.902
12,0.51426,53.7,6.008
13,0.51528,52.9,6.646
14,0.50262,77.4,5.448
15,0.5203,46.1,6.584
16,0.48422,55.6,5.076
17,0.49762,65.0,6.254
18,0.5145,47.1,5.57
19,0.4963,38.0,5.904
20,0.50454,54.4,5.99
21,0.52452,69.0,6.638
22,0.51106,41.5,5.98
23,0.51372,46.5,6.582
24,0.5151,58.6,6.638
25,0.5125,53.4,5.9
26,0.49026,61.8,5.104
27,0.48638,57.7,4.594
28,0.5095,72.9,5.652
